age,citizen_turnout_rate,citizen_turnout_rate_white,citizen_turnout_rate_black,citizen_turnout_rate_hispanic,registered_turnout_rate
18,0.3355,0.3752,0.2868,0.2688,0.7326
19,0.3676,0.3795,0.4292,0.3321,0.6685
20,0.4074,0.4655,0.4037,0.3045,0.7115
21,0.3975,0.4254,0.3497,0.3476,0.6643
22,0.4328,0.482,0.4448,0.3086,0.6879
23,0.4295,0.466,0.4209,0.3178,0.703
24,0.4536,0.5021,0.439,0.3337,0.6993
25,0.4596,0.4554,0.5901,0.3835,0.7308
26,0.4683,0.497,0.4963,0.4061,0.7147
27,0.4643,0.4954,0.4995,0.3713,0.7192
28,0.4953,0.5099,0.5067,0.4524,0.7376
29,0.4775,0.512,0.4448,0.3973,0.7167
30,0.5237,0.5728,0.4621,0.4182,0.7455
31,0.5566,0.5944,0.6102,0.3986,0.8017
32,0.5094,0.5234,0.5279,0.3855,0.7469
33,0.5509,0.5801,0.6099,0.442,0.7783
34,0.5607,0.6038,0.6271,0.3887,0.7775
35,0.5542,0.5979,0.4891,0.4646,0.7838
36,0.547,0.5873,0.559,0.4148,0.7633
37,0.5742,0.6169,0.6365,0.4074,0.7881
38,0.592,0.6237,0.5794,0.4574,0.8176
39,0.6011,0.6495,0.619,0.4511,0.8175
40,0.5739,0.6242,0.6462,0.3957,0.7777
41,0.6057,0.6509,0.6636,0.4588,0.8157
42,0.6001,0.624,0.6344,0.5324,0.7943
43,0.6237,0.6766,0.618,0.4854,0.8276
44,0.5893,0.6362,0.6106,0.4308,0.7988
45,0.6456,0.669,0.7459,0.5249,0.8372
46,0.6524,0.6929,0.6138,0.5841,0.8389
47,0.6817,0.7322,0.7366,0.4788,0.8515
48,0.6529,0.7193,0.64,0.4357,0.8514
49,0.6353,0.6504,0.7243,0.5176,0.8193
50,0.6488,0.6736,0.6337,0.5737,0.8399
51,0.6731,0.7067,0.7128,0.5113,0.8618
52,0.6613,0.672,0.6878,0.634,0.8321
53,0.654,0.6977,0.6563,0.4933,0.835
54,0.6645,0.6856,0.6921,0.5257,0.8482
55,0.6577,0.6694,0.6737,0.5767,0.836
56,0.6637,0.6816,0.7184,0.5062,0.8466
57,0.6679,0.7133,0.6523,0.4582,0.8575
58,0.6831,0.7047,0.6865,0.5424,0.8579
59,0.6907,0.7272,0.6549,0.5828,0.864
60,0.6641,0.7026,0.5984,0.5445,0.8471
61,0.713,0.7319,0.7304,0.6018,0.8663
62,0.707,0.7351,0.7201,0.5828,0.8758
63,0.7304,0.7556,0.6537,0.6516,0.8763
64,0.7327,0.7635,0.7611,0.5861,0.8829
65,0.7101,0.7518,0.7007,0.6133,0.8601
66,0.712,0.7546,0.6739,0.4978,0.8664
67,0.7279,0.759,0.7804,0.5369,0.8728
68,0.7373,0.7703,0.681,0.5622,0.8783
69,0.744,0.766,0.7534,0.624,0.8862
70,0.7703,0.7969,0.8095,0.6007,0.8945
71,0.7548,0.7798,0.7422,0.5852,0.8998
72,0.7785,0.788,0.8487,0.676,0.9089
73,0.7718,0.7997,0.8162,0.5895,0.8917
74,0.7415,0.7639,0.746,0.6545,0.897
75,0.7315,0.7646,0.6857,0.6216,0.8907
76,0.7135,0.7251,0.8468,0.5547,0.8953
77,0.7249,0.7544,0.7048,0.5344,0.8866
78,0.7286,0.7382,0.781,0.681,0.8387
79,0.7744,0.7911,0.7159,0.7596,0.9052
80,0.691,0.7271,0.6979,0.4589,0.8357
85,0.5963,0.6145,0.5805,0.4199,0.7466
